WRN 2026-09-07T14:25:46.806 ui.9149    tui_handle_term_mode:226: TUI: terminal mode 69 unavailable, state 0
WRN 2026-09-07T14:25:46.807 ui.9149    tui_handle_term_mode:239: TUI: terminal mode 2026 detected, state 2
WRN 2026-09-07T14:25:46.807 ui.9149    tui_handle_term_mode:226: TUI: terminal mode 2027 unavailable, state 0
WRN 2026-09-07T14:25:46.807 ui.9149    tui_handle_term_mode:239: TUI: terminal mode 2031 detected, state 2
WRN 2026-09-07T14:25:46.807 ui.9149    tui_handle_term_mode:239: TUI: terminal mode 2048 detected, state 2
WRN 2026-09-07T17:14:22.707 ui.23234   tui_handle_term_mode:226: TUI: terminal mode 69 unavailable, state 0
WRN 2026-09-07T17:14:22.721 ui.23234   tui_handle_term_mode:239: TUI: terminal mode 2026 detected, state 2
WRN 2026-09-07T17:14:22.721 ui.23234   tui_handle_term_mode:226: TUI: terminal mode 2027 unavailable, state 0
WRN 2026-09-07T17:14:22.721 ui.23234   tui_handle_term_mode:239: TUI: terminal mode 2031 detected, state 2
WRN 2026-09-07T17:14:22.721 ui.23234   tui_handle_term_mode:239: TUI: terminal mode 2048 detected, state 2
WRN 2026-09-07T17:21:09.488 ui.26770   tui_handle_term_mode:226: TUI: terminal mode 69 unavailable, state 0
WRN 2026-09-07T17:21:09.488 ui.26770   tui_handle_term_mode:239: TUI: terminal mode 2026 detected, state 2
WRN 2026-09-07T17:21:09.488 ui.26770   tui_handle_term_mode:226: TUI: terminal mode 2027 unavailable, state 0
WRN 2026-09-07T17:21:09.488 ui.26770   tui_handle_term_mode:239: TUI: terminal mode 2031 detected, state 2
WRN 2026-09-07T17:21:09.488 ui.26770   tui_handle_term_mode:226: TUI: terminal mode 2048 unavailable, state 0
